PC,Instruction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0x0,addi 2 0 5 ,F,D,E,M,W,
0x4,addi 3 0 12 ,,F,D,E,M,W,
0x8,addi 7 3 -9 ,,,F,D,E,M,W,
0xc,OR 4 7 2 ,,,,F,D,E,M,W,
0x10,AND 5 3 4 ,,,,,F,D,E,M,W,
0x14,add 5 5 4 ,,,,,,F,D,E,M,W,
0x18,beq 5 7 10,,,,,,,F,D,D,E,M,W,
0x1c,slt 4 3 4 ,,,,,,,,F,F,D,E,M,W,
0x20,beq 4 0 1,,,,,,,,,,F,D,D,E,M,W,
0x28,slt 4 7 2 ,,,,,,,,,,,,,F,D,E,M,W,
0x2c,add 7 4 5 ,,,,,,,,,,,,,,F,D,E,M,W,
0x30,sub 7 7 2 ,,,,,,,,,,,,,,,F,D,E,M,W,
0x34,sw 7 3 68 ,,,,,,,,,,,,,,,,F,D,E,M,W,
0x38,lw 2 0 80 ,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x3c,j 17,,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x44,sw 2 0 84 ,,,,,,,,,,,,,,,,,,,,F,D,E,M,W,
